CÓDIGO,AÑO,ENE,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.
145701-KAS,2017,0,0,0,0,0,0,0,0,0,0,1,0
145702-TAB,2017,0,0,0,0,0,0,0,0,0,14,4,0
145703-CAK,2017,0,0,0,0,0,0,0,0,0,1,7,1
145705-UAC,2017,0,0,0,0,0,0,0,0,1,0,0,0
145706-DAL,2017,0,0,0,0,0,0,0,0,0,0,35,0
145707-MAU,2017,0,0,0,0,0,0,0,0,16,9,25,2
145708-VAD,2017,0,0,0,0,0,0,0,0,2,0,0,1
145710-NAV,2017,0,0,0,0,0,0,0,0,1,1,3,4
145712-FAN,2017,0,0,0,0,0,0,0,0,0,1,2,0
145714-XAF,2017,0,0,0,0,0,0,0,0,0,0,43,61
145715-GAO,2017,0,0,0,0,0,0,0,0,0,0,18,74
145719-QAY,2017,0,0,0,0,0,0,0,0,8,3,24,6
145722-RAZ,2017,0,0,0,0,0,0,0,0,39,3,19,10
145723-ABI,2017,0,0,0,0,0,0,0,0,0,0,1,0
145724-JBR,2017,0,0,0,0,0,0,0,0,0,0,1,0
145726-BBJ,2017,0,0,0,0,0,0,0,0,37,13,28,3
145728-TBB,2017,0,0,0,0,0,0,0,0,0,0,2,0
145729-CBK,2017,0,0,0,0,0,0,0,0,0,1,0,0
145730-LBT,2017,0,0,0,0,0,0,0,0,0,3,0,2
145731-UBC,2017,0,0,0,0,0,0,0,0,5,3,1,0
145732-DBL,2017,0,0,0,0,0,0,0,0,3,1,0,0
145733-MBU,2017,0,0,0,0,0,0,0,0,0,1,0,0
145734-VBD,2017,0,0,0,0,0,0,0,0,0,0,1,0
145735-EBM,2017,0,0,0,0,0,0,0,0,3,1,0,0
145736-NBV,2017,0,0,0,0,0,0,0,0,0,0,0,1
145739-OBW,2017,0,0,0,0,0,0,0,0,2,1,1,0
145740-XBF,2017,0,0,0,0,0,0,0,0,2,1,25,7
145741-GBO,2017,0,0,0,0,0,0,0,0,2,1,75,125
145742-PBX,2017,0,0,0,0,0,0,0,0,1,0,2,0
145743-YBG,2017,0,0,0,0,0,0,0,0,1,0,0,0
145744-HBP,2017,0,0,0,0,0,0,0,0,0,0,0,27
145746-ZBH,2017,0,0,0,0,0,0,0,0,9,13,26,16
145748-RBZ,2017,0,0,0,0,0,0,0,0,4,7,0,1
145749-ACI,2017,0,0,0,0,0,0,0,0,0,0,4,0
145750-JCR,2017,0,0,0,0,0,0,0,0,9,7,4,0
145751-SCA,2017,0,0,0,0,0,0,0,0,0,0,1,0
145752-BCJ,2017,0,0,0,0,0,0,0,0,0,0,53,76
145753-KCS,2017,0,0,0,0,0,0,0,0,0,1,1,2
145754-TCB,2017,0,0,0,0,0,0,0,0,0,4,1,0
145755-CCK,2017,0,0,0,0,0,0,0,0,0,0,56,35
145756-LCT,2017,0,0,0,0,0,0,0,0,0,1,1,1
145758-DCL,2017,0,0,0,0,0,0,0,0,3,0,1,16
145759-MCU,2017,0,0,0,0,0,0,0,0,0,0,1,0
145760-VCD,2017,0,0,0,0,0,0,0,0,0,0,1,0
145761-ECM,2017,0,0,0,0,0,0,0,0,8,3,24,8
145762-NCV,2017,0,0,0,0,0,0,0,0,1,0,0,0
145763-WCE,2017,0,0,0,0,0,0,0,0,4,0,10,7
145764-FCN,2017,0,0,0,0,0,0,0,0,5,0,1,0
145765-OCW,2017,0,0,0,0,0,0,0,0,2,2,0,0
145766-XCF,2017,0,0,0,0,0,0,0,0,1,0,0,2
145767-GCO,2017,0,0,0,0,0,0,0,0,0,0,5,2
145769-YCG,2017,0,0,0,0,0,0,0,0,2,0,0,0
145770-HCP,2017,0,0,0,0,0,0,0,0,0,0,0,1
